id,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,umpire1,umpire2
171,Centurion,5/21/2009,MK Pandey,SuperSport Park,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,12,0,IL Howell,S Ravi
168,Durban,5/20/2009,LR Shukla,Kingsmead,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,4,BG Jerling,SJA Taufel
169,Durban,5/20/2009,M Muralitharan,Kingsmead,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,24,0,BG Jerling,SJA Taufel
167,Johannesburg,5/19/2009,JH Kallis,New Wanderers Stadium,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,Royal Challengers Bangalore,0,7,IL Howell,RB Tiffin
166,Centurion,5/18/2009,BJ Hodge,SuperSport Park,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Kolkata Knight Riders,0,7,SJA Taufel,RB Tiffin
164,Johannesburg,5/17/2009,Yuvraj Singh,New Wanderers Stadium,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,Kings XI Punjab,1,0,S Ravi,RB Tiffin
165,Bloemfontein,5/17/2009,AB de Villiers,OUTsurance Oval,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Delhi Daredevils,14,0,SS Hazare,IL Howell
162,Port Elizabeth,5/16/2009,ML Hayden,St George's Park,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Chennai Super Kings,0,7,SK Tarapore,SJA Taufel
163,Johannesburg,5/16/2009,RG Sharma,New Wanderers Stadium,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,6,RE Koertzen,S Ravi
161,Bloemfontein,5/15/2009,B Lee,OUTsurance Oval,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,6,HDPK Dharmasena,IL Howell
159,Durban,5/14/2009,LRPL Taylor,Kingsmead,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Royal Challengers Bangalore,0,2,BR Doctrove,DJ Harper
160,Durban,5/14/2009,SK Warne,Kingsmead,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,Rajasthan Royals,2,0,BR Doctrove,DJ Harper
